"Date","Time","Open","High","Low","Close","Vol","OI"
06/10/2021,16:00,13810.00,13968.00,13717.00,13950.75,50724,6470
06/11/2021,16:00,13968.75,13990.25,13924.00,13985.75,273805,10743
06/14/2021,16:00,13993.00,14125.75,13957.00,14117.25,403979,15589
06/15/2021,16:00,14110.50,14155.25,14000.50,14021.75,577529,20656
06/16/2021,16:00,14039.50,14095.50,13830.00,13972.75,740135,27398
06/17/2021,16:00,13940.75,14199.25,13842.00,14156.25,841121,32287
06/18/2021,16:00,14179.75,14205.75,14010.00,14035.00,841121,30492
06/21/2021,16:00,14022.25,14144.00,13958.75,14130.00,788483,33929
06/22/2021,16:00,14137.00,14279.25,14066.25,14258.25,621790,35252
06/23/2021,16:00,14273.50,14316.75,14231.75,14263.00,587636,37384
06/24/2021,16:00,14274.25,14422.00,14269.00,14354.25,605975,38145
06/25/2021,16:00,14364.75,14394.25,14313.25,14339.00,594197,39623
06/28/2021,16:00,14347.75,14519.50,14333.25,14512.50,471785,40053
06/29/2021,16:00,14506.75,14585.00,14468.75,14563.00,542004,41153
06/30/2021,16:00,14584.00,14599.00,14518.00,14549.00,550880,39682
07/01/2021,16:00,14558.00,14606.50,14470.75,14548.50,598057,43114
07/02/2021,16:00,14542.25,14728.75,14513.50,14713.75,543434,43986
07/06/2021,16:00,14702.25,14789.75,14625.25,14775.50,838525,45756
07/07/2021,16:00,14758.50,14883.75,14726.25,14802.25,844793,49709
07/08/2021,16:00,14811.75,14821.75,14540.00,14712.25,1001374,53397
07/09/2021,16:00,14712.75,14832.00,14640.50,14810.50,694222,55096
07/12/2021,16:00,14823.75,14888.75,14785.25,14869.25,563544,57445
07/13/2021,16:00,14880.00,14994.50,14794.25,14865.00,824554,57899
07/14/2021,16:00,14868.00,14996.00,14841.00,14891.75,817428,57280
07/15/2021,16:00,14896.25,14962.50,14708.25,14787.50,1017598,54815
07/16/2021,16:00,14778.00,14869.50,14657.25,14670.50,893209,54871
07/19/2021,16:00,14675.75,14683.25,14444.25,14540.75,1324573,60294
07/20/2021,16:00,14593.50,14782.25,14516.75,14722.75,869753,59954
07/21/2021,16:00,14729.50,14841.75,14666.75,14827.75,778237,58292
07/22/2021,16:00,14838.00,14982.75,14823.25,14928.50,806795,63280
07/23/2021,16:00,14978.25,15117.50,14934.25,15098.00,806795,62756
07/26/2021,16:00,15098.00,15134.25,15038.75,15117.75,685147,64192
07/27/2021,16:00,15125.00,15131.50,14774.50,14947.75,1000863,70000
07/28/2021,16:00,14876.25,15074.75,14866.50,15011.50,1012173,67843
07/29/2021,16:00,14984.25,15084.00,14904.25,15037.75,718643,71280
07/30/2021,16:00,14910.00,14979.75,14811.50,14955.75,820333,73969
08/02/2021,16:00,14972.25,15056.00,14932.50,14952.75,743820,78484
08/03/2021,16:00,14963.75,15050.00,14848.75,15046.25,886336,79340
08/04/2021,16:00,15039.00,15108.00,14996.75,15073.50,739921,85766
08/05/2021,16:00,15081.00,15172.25,15069.50,15167.75,554624,89142
08/06/2021,16:00,15168.00,15170.00,15047.50,15095.50,697234,85475
08/09/2021,16:00,15091.25,15146.00,15003.50,15125.25,632672,86280
08/10/2021,16:00,15127.75,15157.25,14994.75,15044.50,754586,91903
08/11/2021,16:00,15045.25,15119.00,14963.00,15019.50,828334,94464
08/12/2021,16:00,15007.75,15090.50,14941.00,15078.50,640693,92442
08/13/2021,16:00,15077.00,15141.50,15055.25,15125.75,463515,91728
08/16/2021,16:00,15120.00,15139.00,14917.00,15134.00,766071,92991
08/17/2021,16:00,15133.75,15134.75,14897.00,14997.50,958229,101562
08/18/2021,16:00,14971.00,15037.00,14806.50,14849.25,894716,104571
08/19/2021,16:00,14840.75,14999.00,14711.00,14928.00,1144987,101758
08/20/2021,16:00,14943.00,15100.00,14851.75,15086.75,720762,107496
08/23/2021,16:00,15092.25,15338.00,15087.50,15304.50,661257,108751
08/24/2021,16:00,15327.50,15384.00,15309.25,15355.50,540655,109609
08/25/2021,16:00,15361.25,15397.00,15333.00,15364.25,579467,113117
08/26/2021,16:00,15367.00,15368.50,15255.50,15274.75,781142,114816
08/27/2021,16:00,15286.50,15443.75,15265.50,15426.50,674243,112956
08/30/2021,16:00,15431.75,15617.75,15420.00,15597.50,559226,114760
08/31/2021,16:00,15603.75,15677.25,15514.00,15582.50,733753,113739
09/01/2021,16:00,15601.25,15698.00,15577.75,15609.25,633192,113000
09/02/2021,16:00,15609.00,15682.25,15551.25,15601.00,682127,111585
09/03/2021,16:00,15599.25,15677.50,15552.00,15651.50,653134,111076
09/07/2021,16:00,15653.75,15708.75,15607.00,15674.75,772239,112191
09/08/2021,16:00,15671.00,15691.00,15523.50,15620.00,862172,110616
09/09/2021,16:00,15610.00,15676.50,15545.75,15558.75,803545,107104
09/10/2021,16:00,15561.25,15667.50,15433.50,15441.50,440573,107104
